'Nombre: CHEMILABS; Código: 12345678; Fecha: 04/12/2019 14:10:41; Canales: 19
#HHMM;1,PM10,µg/m³;2,PM2.5,µg/m³;3,TSP,µg/m³;4,SO2,ppb;5,O3,ppb;6,CO,ppm;7,NO,ppb;8,NO2,ppb;9,NOX,ppb;10,DV,grados;11,VV,m/s;12,HR,% H.R.;13,TEMP,°C;14,PB,mb;15,RS,W/m²;18,RAIN,mm;16,Humedad Int,% H.R.;17,Temperatura Int,°C;19,Estado Puerta,No definida;
0000 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0010 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0020 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0030 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0040 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0050 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0100 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0110 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0120 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0130 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0140 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0150 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0200 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0210 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0220 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0230 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0240 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0250 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0300 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0310 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0320 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0330 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0340 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0350 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0400 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0410 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0420 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0430 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0440 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0450 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0500 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
0510 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 0.00F 
